id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
335982.0,Bangalore,2008-04-18,BB McCullum,venue,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,N,,Asad Rauf,RE Koertzen
335983.0,Chandigarh,2008-04-19,MEK Hussey,venue,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,N,,MR Benson,SL Shastri
335984.0,Delhi,2008-04-19,MF Maharoof,venue,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,runs,9.0,N,,Aleem Dar,GA Pratapkumar
335985.0,Mumbai,2008-04-20,MV Boucher,venue,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,runs,5.0,N,,SJ Davis,DJ Harper
335986.0,Kolkata,2008-04-20,DJ Hussey,venue,0,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,runs,5.0,N,,BF Bowden,K Hariharan
335987.0,Jaipur,2008-04-21,SR Watson,venue,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,runs,6.0,N,,Aleem Dar,RB Tiffin
335988.0,Hyderabad,2008-04-22,V Sehwag,venue,0,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,runs,9.0,N,,IL Howell,AM Saheba
335989.0,Chennai,2008-04-23,ML Hayden,venue,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,N,,DJ Harper,GA Pratapkumar
335990.0,Hyderabad,2008-04-24,YK Pathan,venue,0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,3.0,N,,Asad Rauf,MR Benson
335991.0,Chandigarh,2008-04-25,KC Sangakkara,venue,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66.0,N,,Aleem Dar,AM Saheba
335992.0,Bangalore,2008-04-26,SR Watson,venue,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,7.0,N,,MR Benson,IL Howell
335993.0,Chennai,2008-04-26,JDP Oram,venue,0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,runs,9.0,N,,BF Bowden,AV Jayaprakash
335994.0,Mumbai,2008-04-27,AC Gilchrist,venue,0,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,runs,10.0,N,,Asad Rauf,SL Shastri
335995.0,Chandigarh,2008-04-27,SM Katich,venue,0,Kings XI Punjab,Delhi Capitals,Delhi Daredevils,bat,Kings XI Punjab,runs,4.0,N,,RE Koertzen,I Shivram
335996.0,Bangalore,2008-04-28,MS Dhoni,venue,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,N,,BR Doctrove,RB Tiffin
335997.0,Kolkata,2008-04-29,ST Jayasuriya,venue,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,runs,7.0,N,,BF Bowden,AV Jayaprakash
335998.0,Delhi,2008-04-30,GD McGrath,venue,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,10.0,N,,Aleem Dar,I Shivram
335999.0,Hyderabad,2008-05-01,SE Marsh,venue,0,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,runs,7.0,N,,BR Doctrove,RB Tiffin
336000.0,Jaipur,2008-05-01,SA Asnodkar,venue,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0,N,,RE Koertzen,GA Pratapkumar
336001.0,Chennai,2008-05-02,V Sehwag,venue,0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,runs,8.0,N,,BF Bowden,K Hariharan
336002.0,Bangalore,2008-05-03,P Kumar,venue,0,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bangalore,runs,5.0,N,,BR Doctrove,RE Koertzen
336003.0,Chandigarh,2008-05-03,IK Pathan,venue,0,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kings XI Punjab,runs,9.0,N,,DJ Harper,I Shivram
336004.0,Mumbai,2008-05-04,SM Pollock,venue,0,Mumbai Indians,Delhi Capitals,Delhi Daredevils,field,Mumbai Indians,runs,29.0,N,,IL Howell,RE Koertzen
336005.0,Jaipur,2008-05-04,Sohail Tanvir,venue,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,runs,8.0,N,,Asad Rauf,AV Jayaprakash
336006.0,Bangalore,2008-05-05,S Sreesanth,venue,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,runs,6.0,N,,SJ Davis,BR Doctrove
336007.0,Chennai,2008-05-06,AC Gilchrist,venue,0,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,runs,7.0,N,,MR Benson,RB Tiffin
336008.0,Mumbai,2008-05-07,A Nehra,venue,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,runs,7.0,N,,DJ Harper,RE Koertzen
336009.0,Delhi,2008-05-08,MS Dhoni,venue,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,4.0,N,,Aleem Dar,RB Tiffin
336010.0,Kolkata,2008-05-08,SC Ganguly,venue,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5.0,N,,Asad Rauf,IL Howell
336011.0,Jaipur,2008-05-09,YK Pathan,venue,0,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,runs,8.0,N,,MR Benson,AM Saheba
336012.0,Chennai,2008-05-10,L Balaji,venue,0,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Chennai Super Kings,runs,9.0,N,,AV Jayaprakash,AV Jayaprakash
336013.0,Hyderabad,2008-05-11,SC Ganguly,venue,0,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,18.0,N,,IL Howell,BG Jerling
336014.0,Jaipur,2008-05-11,SR Watson,venue,0,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,runs,23.0,N,,SJ Davis,AM Saheba
336015.0,Chandigarh,2008-05-12,SE Marsh,venue,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,runs,3.0,N,,BR Doctrove,RE Koertzen
336016.0,Kolkata,2008-05-13,Shoaib Akhtar,venue,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,9.0,N,,Asad Rauf,I Shivram
336017.0,Mumbai,2008-05-14,ST Jayasuriya,venue,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,runs,23.0,N,,BR Doctrove,IL Howell
336018.0,Delhi,2008-05-15,A Mishra,venue,0,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,Delhi Capitals,runs,9.0,N,,BG Jerling,AM Saheba
336019.0,Mumbai,2008-05-16,SM Pollock,venue,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,runs,41.0,N,,BR Doctrove,K Hariharan
