batsman,runs_scored,balls_faced,strike_rate,bowler,wickets,economy
A Symonds,973,780,124.74358974358975,A Symonds,47,6.488888888888889
AD Mathews,724,599,120.86811352253757,AD Mathews,35,7.4572490706319705
AD Russell,2256,1359,166.00441501103754,AD Russell,70,7.879518072289157
AR Patel,1405,1118,125.67084078711986,AR Patel,101,7.351235230934479
BA Stokes,935,718,130.22284122562675,BA Stokes,39,8.398340248962656
CH Gayle,4996,3507,142.45794126033647,CH Gayle,25,6.9452054794520555
CH Morris,618,412,150.0,CH Morris,84,7.530201342281879
DJ Bravo,1560,1247,125.10024057738573,DJ Bravo,126,7.361963190184048
DR Smith,2385,1802,132.35294117647058,DR Smith,29,6.710951526032316
GJ Maxwell,2670,1750,152.57142857142858,GJ Maxwell,27,7.239669421487604
HH Pandya,2292,1627,140.87277197295634,HH Pandya,47,7.630645161290323
Harbhajan Singh,833,636,130.9748427672956,Harbhajan Singh,173,7.020618556701031
IK Pathan,1150,985,116.75126903553299,IK Pathan,100,7.1022727272727275
JA Morkel,975,712,136.93820224719101,JA Morkel,89,7.076411960132891
JH Kallis,2426,2289,105.98514635211882,JH Kallis,94,7.083935519733186
JP Duminy,2022,1678,120.50059594755662,JP Duminy,32,7.840228245363766
JP Faulkner,527,406,129.80295566502463,JP Faulkner,56,7.540856031128405
KA Pollard,3429,2431,141.05306458247634,KA Pollard,80,7.7055837563451774
KH Pandya,1508,1161,129.88802756244618,KH Pandya,65,7.229329173166927
MC Henriques,1000,801,124.84394506866417,MC Henriques,45,7.588957055214724
PP Chawla,609,565,107.78761061946902,PP Chawla,156,7.238434163701067
R Ashwin,709,617,114.91085899513776,R Ashwin,163,7.609584214235377
R Tewatia,815,638,127.74294670846396,R Tewatia,30,7.716295427901525
RA Jadeja,2678,2171,123.35329341317365,RA Jadeja,155,7.244067796610169
SK Raina,5522,4164,132.61287223823246,SK Raina,49,7.52258064516129
SP Narine,1046,691,151.37481910274963,SP Narine,131,7.407171314741036
SR Watson,3880,2892,134.1632088520055,SR Watson,104,7.791296209639682
ST Jayasuriya,768,573,134.03141361256544,ST Jayasuriya,26,6.1395348837209305
STR Binny,880,700,125.71428571428571,STR Binny,33,7.819672131147541
Shakib Al Hasan,794,664,119.57831325301204,Shakib Al Hasan,62,7.644710578842315
YK Pathan,3221,2333,138.06258036862408,YK Pathan,60,6.831081081081081
Yuvraj Singh,2754,2207,124.78477571363842,Yuvraj Singh,55,6.782312925170068
