player,runs,wickets,strike_rate,score
Harbhajan Singh,799.0,144.0,135.19458544839256,4079.4
KA Pollard,3429.0,80.0,141.05306458247634,4057.4
SL Malinga,88.0,144.0,85.43689320388349,3652.8
RG Sharma,4988.0,6.0,127.47252747252746,3142.7999999999997
JJ Bumrah,56.0,99.0,82.35294117647058,2508.6
KH Pandya,1140.0,65.0,134.43396226415095,2309.0
HH Pandya,1482.0,47.0,146.29812438302073,2064.2
MJ McClenaghan,85.0,60.0,116.43835616438356,1551.0
SA Yadav,2581.0,0.0,144.91858506457046,1548.6
AT Rayudu,2416.0,0.0,123.0142566191446,1449.6
SR Tendulkar,2333.0,1.0,114.19481155163976,1424.8
