player,runs,wickets,strike_rate,score
SK Raina,4681.0,44.0,132.4936314746674,3908.6
RA Jadeja,1616.0,101.0,129.69502407704653,3494.6
DJ Bravo,1004.0,88.0,132.4538258575198,2802.4
MS Dhoni,4492.0,0.0,133.53151010701544,2695.2
R Ashwin,190.0,98.0,91.34615384615384,2564.0
JA Morkel,828.0,76.0,139.86486486486487,2396.8
F du Plessis,2707.0,3.0,128.7208749405611,1699.2
SB Jakati,27.0,53.0,96.42857142857143,1341.2
M Muralitharan,9.0,47.0,69.23076923076923,1180.4
AT Rayudu,1915.0,0.0,128.00802139037432,1149.0
MEK Hussey,1767.0,0.0,121.02739726027399,1060.2
